Year,State,Visitors,StateYear
2019,Johor,14274,Johor_2019
2019,Kedah,14831,Kedah_2019
2019,Kelantan,10986,Kelantan_2019
2019,Melaka,13979,Melaka_2019
2019,Negeri Sembilan,13303,Negeri Sembilan_2019
2019,Pahang,18498,Pahang_2019
2019,Pulau Pinang,15411,Pulau Pinang_2019
2019,Perak,21070,Perak_2019
2019,Perlis,2088,Perlis_2019
2019,Selangor,33589,Selangor_2019
2019,Terengganu,14158,Terengganu_2019
2019,Sabah,22035,Sabah_2019
2019,Sarawak,19793,Sarawak_2019
2019,Kuala Lumpur,22633,Kuala Lumpur_2019
2019,Labuan,524,Labuan_2019
2019,Putrajaya,1949,Putrajaya_2019
2020,Johor,7243,Johor_2020
2020,Kedah,10831,Kedah_2020
2020,Kelantan,6058,Kelantan_2020
2020,Melaka,7275,Melaka_2020
2020,Negeri Sembilan,7918,Negeri Sembilan_2020
2020,Pahang,9905,Pahang_2020
2020,Pulau Pinang,8929,Pulau Pinang_2020
2020,Perak,13173,Perak_2020
2020,Perlis,1193,Perlis_2020
2020,Selangor,19715,Selangor_2020
2020,Terengganu,7420,Terengganu_2020
2020,Sabah,10337,Sabah_2020
2020,Sarawak,9393,Sarawak_2020
2020,Kuala Lumpur,12435,Kuala Lumpur_2020
2020,Labuan,107,Labuan_2020
2020,Putrajaya,451,Putrajaya_2020
2021,Johor,3658,Johor_2021
2021,Kedah,4023,Kedah_2021
2021,Kelantan,1921,Kelantan_2021
2021,Melaka,3878,Melaka_2021
2021,Negeri Sembilan,5485,Negeri Sembilan_2021
2021,Pahang,3405,Pahang_2021
2021,Pulau Pinang,5061,Pulau Pinang_2021
2021,Perak,4489,Perak_2021
2021,Perlis,407,Perlis_2021
2021,Selangor,10212,Selangor_2021
2021,Terengganu,3719,Terengganu_2021
2021,Sabah,3815,Sabah_2021
2021,Sarawak,6511,Sarawak_2021
2021,Kuala Lumpur,9116,Kuala Lumpur_2021
2021,Labuan,54,Labuan_2021
2021,Putrajaya,223,Putrajaya_2021
2022,Johor,12376,Johor_2022
2022,Kedah,11186,Kedah_2022
2022,Kelantan,6627,Kelantan_2022
2022,Melaka,11757,Melaka_2022
2022,Negeri Sembilan,11490,Negeri Sembilan_2022
2022,Pahang,13189,Pahang_2022
2022,Pulau Pinang,10003,Pulau Pinang_2022
2022,Perak,14567,Perak_2022
2022,Perlis,1669,Perlis_2022
2022,Selangor,21990,Selangor_2022
2022,Terengganu,10233,Terengganu_2022
2022,Sabah,12589,Sabah_2022
2022,Sarawak,15465,Sarawak_2022
2022,Kuala Lumpur,16913,Kuala Lumpur_2022
2022,Labuan,244,Labuan_2022
2022,Putrajaya,1306,Putrajaya_2022
2023,Johor,15805,Johor_2023
2023,Kedah,13444,Kedah_2023
2023,Kelantan,7549,Kelantan_2023
2023,Melaka,15559,Melaka_2023
2023,Negeri Sembilan,14959,Negeri Sembilan_2023
2023,Pahang,16456,Pahang_2023
2023,Pulau Pinang,13128,Pulau Pinang_2023
2023,Perak,17108,Perak_2023
2023,Perlis,1951,Perlis_2023
2023,Selangor,27579,Selangor_2023
2023,Terengganu,11761,Terengganu_2023
2023,Sabah,16080,Sabah_2023
2023,Sarawak,17901,Sarawak_2023
2023,Kuala Lumpur,22233,Kuala Lumpur_2023
2023,Labuan,331,Labuan_2023
2023,Putrajaya,1900,Putrajaya_2023
